/* DATA DESCRIPTION:
Citation:	Müller, Peter J (2004): Density and water content of sediment core GeoB6425-2. Department of Geosciences, Bremen University, PANGAEA, https://doi.org/10.1594/PANGAEA.138380
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
Coverage:	LATITUDE: -33.825200 * LONGITUDE: -23.587300
	DATE/TIME START: 2000-03-02T08:02:00 * DATE/TIME END: 2000-03-02T08:02:00
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 10.68 m
Event(s):	GeoB6425-2 * LATITUDE: -33.825200 * LONGITUDE: -23.587300 * DATE/TIME: 2000-03-02T08:02:00 * ELEVATION: -4352.0 m * Recovery: 10.89 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics, CTD at 50 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Water content, wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Porosity [% vol] (Poros) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Density, dry bulk [g/cm**3] (DBD) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Density, wet bulk [g/cm**3] (WBD) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	856 data points
*/
Depth [m]	Water wm [%]	Poros [% vol]	DBD [g/cm**3]	WBD [g/cm**3]
5.73	50.0	72.9	0.75	1.50
5.78	61.7	74.5	0.48	1.24
5.83	60.5	73.2	0.49	1.24
5.88	60.8	77.5	0.51	1.31
5.93	61.0	77.6	0.51	1.30
5.98	63.9	76.9	0.45	1.24
6.03	57.5	76.7	0.58	1.37
6.08	55.1	73.8	0.62	1.37
6.13	55.7	75.6	0.62	1.39
6.18	55.9	76.0	0.62	1.40
6.23	56.7	76.4	0.60	1.38
6.28	52.7	72.8	0.67	1.42
6.33	51.1	72.4	0.71	1.45
6.38	50.4	70.4	0.71	1.43
6.43	50.7	72.0	0.72	1.46
6.48	50.3	72.5	0.73	1.48
6.53	47.8	70.4	0.79	1.51
6.58	44.6	67.6	0.86	1.55
6.63	45.5	67.2	0.82	1.51
6.68	46.3	69.5	0.83	1.54
6.73	46.8	67.5	0.79	1.48
6.78	47.3	70.0	0.80	1.52
6.83	46.7	68.2	0.80	1.50
6.88	46.3	66.8	0.80	1.48
6.93	47.5	69.4	0.79	1.50
6.98	48.5	72.3	0.79	1.53
7.03	51.7	71.5	0.69	1.42
7.08	53.5	75.5	0.67	1.45
7.13	55.8	75.8	0.62	1.39
7.18	56.8	77.6	0.61	1.40
7.23	56.5	76.2	0.60	1.38
7.28	55.0	73.7	0.62	1.37
7.33	53.9	73.8	0.65	1.40
7.38	48.7	71.0	0.77	1.50
7.43	43.9	66.4	0.87	1.55
7.48	44.0	67.0	0.87	1.56
7.53	45.8	67.4	0.82	1.51
7.58	47.3	69.6	0.80	1.51
7.63	47.8	71.2	0.80	1.52
7.68	44.6	67.0	0.85	1.54
7.73	43.7	67.8	0.90	1.59
7.78	44.2	66.3	0.86	1.54
7.83	45.0	67.9	0.85	1.55
7.88	48.5	69.5	0.76	1.47
7.93	52.4	72.6	0.67	1.42
7.98	52.1	72.7	0.68	1.43
8.03	54.9	74.3	0.63	1.39
8.08	55.6	76.6	0.63	1.41
8.13	54.9	75.1	0.63	1.40
8.18	52.6	73.4	0.68	1.43
8.23	47.4	70.2	0.80	1.52
8.28	46.4	69.1	0.82	1.53
8.33	46.1	68.9	0.83	1.53
8.38	48.2	68.3	0.75	1.45
8.43	50.0	72.0	0.74	1.48
8.48	50.8	73.3	0.73	1.48
8.53	50.7	72.5	0.72	1.47
8.58	51.7	71.9	0.69	1.43
8.63	50.1	71.1	0.72	1.45
8.68	51.4	72.3	0.70	1.44
8.73	54.2	73.6	0.64	1.39
8.78	54.5	74.8	0.64	1.41
8.83	54.4	73.5	0.63	1.39
8.88	53.5	74.4	0.66	1.42
8.93	46.3	68.6	0.82	1.52
8.98	44.3	67.5	0.87	1.56
9.03	44.7	67.2	0.85	1.54
9.08	44.9	68.1	0.86	1.55
9.13	46.7	67.4	0.79	1.48
9.18	48.7	70.9	0.76	1.49
9.23	49.5	72.4	0.76	1.50
9.28	43.6	66.3	0.88	1.56
9.33	43.5	66.5	0.89	1.57
9.38	44.9	67.4	0.85	1.54
